Название статьи,Ссылка на статью,Контекст статьи,Статус
Новинка Makita: холодильник с функцией подогрева DCW180,https://www.kuvalda.ru/blog/articles/newinstr/novinka-makita-holodilnik-s-funkciej-podogreva-dcw180.html,"Не секрет, что MAKITA это не только строительный инструмент, но и с недавних пор техника и экипировка для отдыха на природе. В активе «макитовцев» уже есть такие вещи как: жилеты и куртки с подогревом и вентиляцией, аккумуляторные кофеварки, радиоприемники, вентиляторы, а совсем недавно появился холодильный бокс DCW180 . Остановимся подробнее на этом устройстве. Будет не совсем верно называть DCW180 термобоксом или просто холодильником, поскольку это устройство 2 в 1 — полноценный компрессорный холодильник с функцией нагрева и поддержания температуры. Варианты работы устройства: от одного или двух 18 В аккумуляторов LXT ; от стандартной электросети 220 В; от авто прикуривателя 12В/24В. (Существует и версия CW001 с возможностью работы от 40 В аккумуляторов Makita, но она недоступна для заказа в РФ.) В комплекте поставки вы найдете блок питания на 220 В, кабель для подключения к разъему прикуривателя, ремень для транспортировки. Ёмкость холодильника 20 литров. Наличие уплотнительной резинки на крышке и автоматическая подсветка при открывании — всё как в привычном домашнем холодильнике. На небольшом дисплее отображается температура, которая в настоящий момент поддерживается внутри бокса, также указаны единицы измерения: на выбор градусы Цельсия или Фаренгейта и степень заряда АКБ. В режиме нагрева можно задать температуру +55 С или +60 С.",ok
История METABO: 100 лет развития,https://www.kuvalda.ru/blog/articles/polz/istoriya-metabo-100-let-razvitiya.html,"Весной 2023 года исполнится 100 лет с момента, когда Компания Metabo начала свой путь в разработке и в производстве инструментов для строительства и промышленности, инструментов для ухода за садом, разнообразных станков, которые работают от сети переменного тока, от аккумулятора и от сжатого воздуха. Предлагаем проследить ключевые вехи развития компании Metabo, через историческую призму изменения ассортимента. Все началось в начале 20-го века, когда молодой энтузиаст и инженер по призванию, Альбрехт Шницлер, начал у себя дома конструировать разнообразные инструменты с механическим приводом, в первую очередь дрели. Альбрехт Шницлер собрал в родительской пекарне в Нюртингене свою первую ручную дрель по металлу № 18. А для того чтобы масштабировать производство ему пригодилось знакомство с Юлиусом Клоссом. Основана компания Schnizler GmbH. Юлиус Клосс, владелец бывшего пивоваренного завода ""Sonnenbrauerei"" в Нюртингене, является одним из учредителей и предоставил здание и средства для новой компании. Компания переезжает в помещение завода ""Sonnenbrauerei"", которое было преобразовано в Промышленный Центр Нюртингена. Компания приступает к производству ручных дрелей разработки Шницлера и прочих инструментов, актуальных для того времени. Завод по производству инструментов Metabo (Промышленный Центр Нюртингена), г.",ok
Тест аккумуляторных газонокосилок Greenworks 2022 года,https://www.kuvalda.ru/blog/articles/newinstr/test-akkumulyatornyh-gazonokosilok-greenworks-2022-goda.html,"Флагманские косилки Greenworks обзавелись возможностью установки сразу двух АКБ, чтобы по мере разрядки одного, задействовать заряд второго. Насколько это решение эффективно, решили проверить испытатели интернет-издания Потребитель: Евгений Балабас и Алексей Меснянкин . К ним на тест попали 4 косилки с вольтажом: 40 В, 60 В и 82 В. Вне конкурса протестирована электрическая Greenworks LM2000 мощностью 2000 Вт. В качестве полигона выбрано поле дикорастущей травы, а июльский зной оказался испытанием как для техники, так и для тестировщиков. Самые прогрессивные газонокосилки Greenworks 2022 года имеют набор схожих особенностей: 2 слота под АКБ и автоматическое переключение между ними; привод 2WD — задняя колесная пара ведущая; ножевой узел оснащен крыльчаткой, задача которой усиливать воздушный поток; три режима на выбор: стрижка в травосборник, мульчирование, выброс. На уровне данного теста модель можно назвать младшей, однако в линейке 40 В техники Greenworks это флагман. Фишку техники сезона 2022 – 2-х батарейный слот с последовательным подключением по мере разряда — Greenworks применил еще в 2021 году в топовой 60 В GD60LM51SP . По итогам сезона 2021 инженеры и маркетологи бренда решили перенести эту опцию на косилки бытового и коммерческого сегментов. GD40LM48SP визуально похожа на 60 В GD60LM51SP: одинаковые передние и задние колеса, стильная алюминиевая конструкция рукояток, такой же блок лепестковых переключателей.",ok
Новинка A-iPower: бензиновый генератор AP2200 Lite,https://www.kuvalda.ru/blog/articles/newinstr/novinka-a-ipower-benzinovyj-generator-lite-ap2200.html,"Продолжаем серию обзоров садовой техники с блогером Алексеем Надежиным. В прошлый раз мы узнали, оправдывает ли ожидания газонокосилка-робот и с какими сложностями пришлось столкнуться, чтобы с её помощью получить аккуратный ровный газон. Сегодня хотим поделиться не менее актуальным материалом: обзором и тестом недорогого генератора для дачи — A-Ipower на 2 кВт. AР2200 lite [20201] самая простая модель из линейки генераторов A-Ipower . Этот генератор не инверторного типа, без автозапуска и автоматического ввода резерва (АВР). Тем не менее, свою основную задачу агрегат выполняет и делает это уверенно: выдает заявленные 2 кВт или 2200 ВА, которых достаточно, чтобы подключить минимальный набор бытовой техники. Соответствие характеристикам, без сомнения, важно, но ключевым критерием при выборе бензинового генератора наверняка будет бюджет. AР2200 lite входит в самый востребованный сегмент электростанций с ценой до 25 000 рублей . За эти деньги можно купить купить бензогенератор мощностью от 500 Вт до 2000 Вт, и если постараться, можно найти генератор на 3 кВт. Кроме мощности, выбирая резервный источник энергии нужно учитывать еще кучу параметров: Всё это важно, в той или иной степени, однако покупателя интересует главный вопрос — надежность.",ok
Как работает косилка-робот,https://www.kuvalda.ru/blog/articles/polz/kak-rabotaet-kosilka-robot.html,"Наш давний знакомый, блогер Алексей Надёжин (ammo1) озадачился обустройством газона на своем дачном участке и у него появились некоторые вопросы по работе робота-газонокосилки в неидеальных условиях. Справится ли техника с задачей, если участок не выровнен, если нужно косить дикорастущую траву и делать это нерегулярно? Поскольку моделей на рынке много, характеристики у всех, примерно, одинаковые, Алексей задумал провести тест-драйв, перед тем как приобрести собственную робо-косилку. Мы решили помочь ему, так робот STIHL RMI 422 P из нашего демонстрационного фонда отправился на тест в Подмосковье. “Мне надоело каждую неделю косить траву на дачном участке и я решил изучить рынок роботов-газонокосилок. В рекламе и роликах на Youtube не нашлось ответа на три главных вопроса, поэтому пришлось всё изучать ""на своей шкуре"". В роботах-косилках меня интересовали три вещи: может ли робот перемещаться по невыровненному участку с ухабами, кочками и ямами, или он только для идеальных лужаек; способен ли робот косить плотную дикорастущую траву, или он только для газонной травки; можно ли использовать робот не каждый день в автоматическом режиме, а только раз в неделю при посещении дачи (в наших условиях оставлять робот на улице опасно - сопрут, да ещё и в дом залезут, раз хозяин такой ""богатый""). Для того, чтобы узнать ответы на этот вопрос я попросил компанию Кувалда.ру выдать мне на тест какого-нибудь робота косилку. Через неделю у меня на даче оказалась огромная коробка с довольно дорогим роботом STIHL RMI 422 P”. ”Большинство роботов-газонокосилок стоят от 35 до 150 тысяч рублей.",ok
Новинки A-iPower: мойки высокого давления,https://www.kuvalda.ru/blog/articles/newinstr/novinki-a-ipower-mojka-vysokogo-davleniya.html,"Бытовая мойка высокого давления способна виртуозно решать множество задач в частном доме. Естественно, на первом месте уход за транспортным средством. Также для аппарата найдется много другой работы: чистка дорожек, фасадов, цоколя, уход за садовым инвентарем и техникой для газона . Производители борются за клиента и открыто копируют удачные технические решения. Такое заимствование привело к тому, что на рынке представлены аппараты со схожими характеристиками и особенностями: колёса и рукоятки для простого перемещения, крюки для размещения шланга и кабеля питания, вода берется из центрального водоснабжения или из бочки, вертикально ориентированный эргономичный дизайн для компактного хранения, алюминиевая водяная помпа с плунжерами из нержавейки: распространенная конструкция, надежно себя зарекомендовала. Первое, на что следует обратить внимание — плунжерный насос повышенной производительности. Для эффективной мойки необходимо не просто высокое давление, но и достаточное количество воды. Даже при высоком создаваемом давлении струи, но недостаточной ее плотности, что бывает из-за низкого потока воды, мойка не будет работать эффективно. Аппараты A-IPOWER оснащены плунжерными насосами повышенной производительности, что обеспечивает поток воды выше, чем у конкурентов на 10-15% при том же рабочем давлении. Сравнение характеристик производительности моек с разным рабочим давлением: Отдельного внимания заслуживает профессиональный пеногенератор A-IPOWER.",ok
Почему не стоит покупать «аналог Makita». Рассказываем на примере аккумулятора,https://www.kuvalda.ru/blog/articles/polz/pochemu-ne-stoit-pokupat-analog-makita-rasskazyvaem-na-primere-akkumulyatora.html,"Тема разоблачения фейков актуальна как никогда и сегодня спецы из журнала Потребитель показали во всей красе фейковые аккумуляторы для электроинструмента и садовой техники — «аналог Makita». Чтобы выяснить, что из себя представляет замаскированная под «Макиту» батарейка, на одной небезызвестной интернет-площадке сделана контрольная закупка 18 вольтовых батарей емкостью 6 ампер-часов. Место, где предприимчивые дельцы беспрепятственно предлагают откровенный контрафакт, вы прекрасно знаете, но не будем его называть, чтобы не делать рекламу. Если источник питания подходит к оригинальному инструменту и тот вполне себе работает некоторое время, так в чем проблема? Почему бы не сэкономить, ведь разница в цене 30% — еще один серьезный аргумент в пользу реплики. Во-первых, неизвестно сколько циклов заряда и разряда выдержит неоригинальная батарейка. Радость от выгодной покупки продлится считанные часы. Во-вторых, АКБ, собранная в кустарных условиях, опасна: при определенном стечении обстоятельств она может загореться. Отважные испытатели, Алексей Меснянкин и Артём Сальников, взялись сравнить оригинал и контрафакт по нескольким критериям: Выяснили реальную емкость оригинала и «лжемакиты». Измерили равномерность уровня заряда ячеек.",ok
Интересная новинка A-iPower — складная газонокосилка,https://www.kuvalda.ru/blog/articles/newinstr/interesnaya-novinka-a-ipower-skladnaya-gazonokosilka.html,"Сегодня расскажем о самоходной бензиновой газонокосилке A-iPower , которая выделяется на фоне конкурентов одной особенностью. Косилка имеет складной механизм и это не просто складные ручки. В сложенном состоянии её можно ставить вертикально и в таком компактном виде хранить в подсобном помещении, гараже или хозблоке. Казалось бы, 4-х тактный бензиновый двигатель не обрадуется такому обращению, но производитель заявляет, что позаботился о моторе и подобные манипуляции безопасны. Модернизированная конструкция картера двигателя, уплотнителей, карбюратора, воздушного фильтра и топливного бака позволяет хранить машину вертикально без слива моторного масла и бензина. В вертикальном положении газонокосилка занимает гораздо меньше места и более удобна для чистки лезвия. Рукоятки складываются особым образом, образуя опоры для устойчивого вертикального положения. Благодаря способности к трансформации косилка при хранении занимает в 2 раза меньше места. Модель с подобной опцией есть и у другого бренда, например, у Stiga . Конкурент действительно компактный, однако не имеет травосборника и ограничен функционалом.",ok
Новинки Makita 2022: инструмент XGT 40В и LXT 18В,https://www.kuvalda.ru/blog/articles/newinstr/novinki-makita-2022-akkumulyatornyj-instrument-xgt-40-v-i-lxt-18-v.html,"Улучшенная защита от пыли и влаги — технология XPT. Новый кожух не требует инструментов и позволяет быстро и легко регулировать положение. Технология AFT — активная обратная связь, отключает двигатель при заклинивании диска или рывков. Электрический тормоз для максимальной производительности. Функция защиты от случайного запуска и плавный пуск. Технология AWS для беспроводной работы с пылесосом по Bluetooth–каналу. В комплект поставки входит: кожух, боковая рукоятка, ключ, диск. Makita GA037GZ поставляется без аккумулятора и зарядной станции. Ориентировочная стоимость новинки на момент публикации – 29 390 руб. с НДС Быстрозажимной патрон 13 мм, крутящий момент 65 Нм.",ok
"Аккумуляторный пылесос, не такой, как все",https://www.kuvalda.ru/blog/articles/polz/akkumulyatornyj-pylesos-ne-takoj-kak-vse.html,"Если вы решили купить аккумуляторный пылесос , этот материал определенно вам будет интересен. На Дзен канале нашего хорошего знакомого, Алексея Надёжина вышел любопытный обзор на компактный пылесос Makita DCL181F . Техноблогер поделился личном опытом использования пылесоса, рассказал о фактических характеристиках и нюансах, о которых точно не напишут в описании товара в интернет-магазине. Подавляющее большинство аккумуляторных пылесосов похожи друг на друга — в них используется безмешковая технология с контейнером-циклоном для сбора пыли, моторизованные турбощётки и встроенные аккумуляторы. В аккумуляторных пылесосах Makita всё наоборот — вместо циклона тканевый фильтр, насадка для пола самая обычная, а аккумулятора вообще нет в комплекте — подходит аккумулятор LXT 18V от электроинструмента этой фирмы. Прошлым летом со мной связался читатель (к моему сожалению и стыду я не смог сейчас найти его имя и ник) и предложил подарить мне пылесос под аккумуляторы Makita. Он сказал, что сам обзавёлся старшей моделью DCL281FZ с бесщеточным мотором, а этот решил подарить мне в знак благодарности за то, что я делаю в блоге и своих проектах. Пылесос прижился, но использую я его в основном с щелевой насадкой для оперативной уборки опилок, мелкого мусора и кошачьей шерсти по углам. У пылесоса два уровня мощности, я всегда использую максимальный. Аккумулятора 3 Ah из комплекта триммера Makita DUR181RF хватает очень надолго (заряжаю его раз в месяц-два).",ok
